player_name,player_link,player_birthday,player_current_team,player_handedness,player_position,player_image
Allen Crabbe,https://www.basketball-reference.com/players/c/crabbal01.html,1992-04-09,Free Agent / Retired,Right,Shooting Guard and Small Forward,https://www.basketball-reference.com/req/202106291/images/headshots/crabbal01.jpg
Allen Iverson,https://www.basketball-reference.com/players/i/iversal01.html,1975-06-07,Free Agent / Retired,Right,Shooting Guard and Point Guard,https://www.basketball-reference.com/req/202106291/images/headshots/iversal01.jpg
Allonzo Trier,https://www.basketball-reference.com/players/t/trieral01.html,1996-01-17,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/trieral01.jpg
Alondes Williams,https://www.basketball-reference.com/players/w/willial06.html,1999-06-19,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/willial06.jpg
Alonzo Gee,https://www.basketball-reference.com/players/g/geeal01.html,1987-05-29,Free Agent / Retired,Right,Small Forward and Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/geeal01.jpg
Alonzo Mourning,https://www.basketball-reference.com/players/m/mournal01.html,1970-02-08,Free Agent / Retired,Right,Center and Power Forward,https://www.basketball-reference.com/req/202106291/images/headshots/mournal01.jpg
Alperen Şengün,https://www.basketball-reference.com/players/s/sengual01.html,2002-07-25,Houston Rockets,Right,Center,https://www.basketball-reference.com/req/202106291/images/headshots/sengual01.jpg
Alton Ford,https://www.basketball-reference.com/players/f/fordal02.html,1981-05-29,Free Agent / Retired,Right,Power Forward,
Alton Lister,https://www.basketball-reference.com/players/l/listeal01.html,1958-10-01,Free Agent / Retired,Right,Center and Power Forward,
Alvin Heggs,https://www.basketball-reference.com/players/h/heggsal01.html,1967-12-12,Free Agent / Retired,Right,Small Forward,
Alvin Jones,https://www.basketball-reference.com/players/j/jonesal01.html,1978-09-09,Free Agent / Retired,Right,Center,
Alvin Robertson,https://www.basketball-reference.com/players/r/roberal01.html,1962-07-22,Free Agent / Retired,Right,Shooting Guard,https://www.basketball-reference.com/req/202106291/images/headshots/roberal01.jpg
